"","Address","CaseNumber","CrimeAgainst","Neighborhood","OccurDate","OccurTime","OffenseCategory","OffenseType","OpenDataLat","OpenDataLon","OpenDataX","OpenDataY","ReportDate","OffenseCount"
"61","600 BLOCK OF NW 6TH AVE","22-33966","Society","Old Town/Chinatown","2/5/2022",1636,"Weapon Law Violations","Weapons Law Violations",45.527696015,-122.676655074,7644342,685999,"2/5/2022",1
"62","600 BLOCK OF NW 21ST AVE","22-249475","Society","Northwest","9/16/2022",44,"Weapon Law Violations","Weapons Law Violations",45.52736959,-122.69439542,7639794,686003,"9/16/2022",1
"63","600 BLOCK OF NW NAITO PKWY","22-204177","Society","Old Town/Chinatown","7/30/2022",1217,"Weapon Law Violations","Weapons Law Violations",45.527841953,-122.673003125,7645279,686027,"7/30/2022",1
"64","600 BLOCK OF S LOWELL ST","22-92504","Society","South Portland","4/7/2022",957,"Weapon Law Violations","Weapons Law Violations",45.493909929,-122.671459369,7645342,673649,"4/7/2022",1
"65","600 BLOCK OF S LOWELL ST","22-314390","Society","South Portland","11/25/2022",2017,"Weapon Law Violations","Weapons Law Violations",45.493909929,-122.671459369,7645342,673649,"11/25/2022",1
"66","600 BLOCK OF SE 122ND AVE","22-106814","Society","Mill Park","4/22/2022",1708,"Weapon Law Violations","Weapons Law Violations",45.517986185,-122.537830738,7679818,681532,"4/22/2022",1
"67","600 BLOCK OF SE 122ND AVE","22-156781","Society","Mill Park","6/12/2022",1831,"Weapon Law Violations","Weapons Law Violations",45.517986185,-122.537830738,7679818,681532,"6/12/2022",1
"68","600 BLOCK OF SE 122ND AVE","22-301138","Society","Mill Park","11/10/2022",1800,"Weapon Law Violations","Weapons Law Violations",45.517986185,-122.537830738,7679818,681532,"11/10/2022",1
"69","600 BLOCK OF SE 122ND AVE","22-333009","Society","Mill Park","12/16/2022",1915,"Weapon Law Violations","Weapons Law Violations",45.517986185,-122.537830738,7679818,681532,"12/16/2022",1
"70","600 BLOCK OF SE 162ND AVE","22-39443","Society","Centennial","2/1/2022",100,"Weapon Law Violations","Weapons Law Violations",45.517783037,-122.496424952,7690426,681193,"2/11/2022",1
"71","600 BLOCK OF SE DIVISION PL","22-50331","Society","Hosford-Abernethy","2/23/2022",323,"Weapon Law Violations","Weapons Law Violations",45.504919653,-122.65926944,7648574,677578,"2/23/2022",1
"72","600 BLOCK OF SW 3RD AVE","22-258317","Society","Downtown","9/25/2022",752,"Weapon Law Violations","Weapons Law Violations",45.518602328,-122.675412732,7644571,682676,"9/25/2022",1
